Location,DF_Market,TMO,Flavor,Taste,Thickness,Length,PMI SKU,Cluster SKU
Queretaro,Mexico,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Jerez De La Frontera,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Ningbo Lishe,China,PMI,Regular,Full Flavor,STD,KS,1,7
Volgograd,Russia,PMI,Regular,Full Flavor,STD,KS,1,7
Antigua,Caribbean Other,PMI,Regular,Full Flavor,STD,KS,1,3
Diyarbakir Airport,Turkey,PMI,Menthol Caps,Full Flavor,STD,KS,1,5
Dresden,Germany,PMI,Regular,Full Flavor,SLI,KS,1,4
Glasgow,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Fortaleza,Brazil,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Curacao,Curazao,PMI,Regular,Full Flavor,STD,KS,1,0
Doha,Qatar,PMI,Regular,Ultralights,STD,KS,1,0
Bergen,Norway,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Rabat,Morocco,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Djibouti,Djibouti,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Bilbao,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Rotterdam,Netherlands,PMI,Regular,Full Flavor,SLI,KS,1,2
Bridgetown,Barbados,PMI,Menthol,Full Flavor,STD,KS,1,0
Agadir,Morocco,PMI,Regular,Full Flavor,SLI,KS,1,1
London Stansted,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Tarbes - Lourdes,France,PMI,Regular,Lights,STD,KS,1,2
Duesseldorf,Germany,PMI,Regular,Full Flavor,STD,KS,1,6
Johor Bahru,Malaysia,PMI,Menthol,Full Flavor,SLI,KS,1,1
Bogota,Colombia,PMI,Regular,Full Flavor,STD,KS,1,1
Colombo,Sri Lanka,PMI,Regular,Full Flavor,SLI,KS,1,0
Queenstown,New Zealand,PMI,Regular,Full Flavor,STD,KS,1,1
Lublin,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
Chengdu Tianfu,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Aqaba,Jordan,PMI,Regular,Full Flavor,SLI,KS,1,2
Vilnius,Lithuania,PMI,Regular,Full Flavor,STD,KS,1,1
Tokyo - Haneda,Japan,PMI,Regular,Full Flavor,STD,KS,1,9
Samana El Catey,Dominican Republic,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Buenos Aires Aeroparque,Argentina,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Cayenne,French Guyana,PMI,Regular,Full Flavor,SLI,KS,1,0
Paris Orly,France DP,PMI,Regular,Full Flavor,STD,KS,1,9
Astana,Kazakhstan,PMI,Regular,Full Flavor,STD,KS,1,1
Zakynthos,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
Jersey,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,4
Malaga,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Cochin,India,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Manama,Bahrain,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Marseille,France DP,PMI,Regular,Full Flavor,STD,KS,1,9
Hiroshima,Japan,PMI,Regular,Full Flavor,STD,KS,1,9
Yangyang,South Korea,PMI,Regular,Lights,SLI,KS,1,1
Durban,South Africa,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Sharm El Sheikh,Egypt,PMI,Regular,Full Flavor,STD,KS,1,4
Cukurova Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,11
Aalborg,Denmark,PMI,Regular,Full Flavor,SLI,KS,1,2
Stavanger,Norway,PMI,Regular,Full Flavor,SLI,KS,1,1
Krakow Balice,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
Tunis,Tunisia,PMI,Regular,Full Flavor,STD,KS,1,5
Stuttgart,Germany,PMI,Regular,Full Flavor,STD,KS,1,5
Manchester,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Cam Ranh,Vietnam,PMI,Menthol,Full Flavor,STD,KS,1,1
Cairns,Australia,PMI,Regular,Full Flavor,STD,KS,1,3
Lagos,Nigeria,PMI,Regular,Full Flavor,SLI,KS,1,1
Yangon,Myanmar,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Tunis,Tunisia,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Montego Bay,Jamaica,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Shenyang Taoxian,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Gerona,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Rzeszow,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
Bournemouth,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Dubai,United Arab Emirates,PMI,Regular,Full Flavor,STD,KS,1,1
Hebei,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Naha,Japan,PMI,Menthol,Full Flavor,STD,KS,1,4
PRISTINA,Kosovo,PMI,Regular,Full Flavor,STD,KS,1,0
Nanchang Changbei,China,PMI,Regular,Full Flavor,STD,KS,1,7
Warsaw,Poland,PMI,Regular,Full Flavor,SLI,KS,1,2
Lublin,Poland,PMI,Regular,Full Flavor,SLI,KS,1,2
Fukuoka,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Hurgada,Egypt,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Glasgow,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Lyon Saint Exupery,France DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Marseille,France,PMI,Regular,Lights,STD,KS,1,2
Penang,Malaysia,PMI,Menthol,Full Flavor,STD,KS,1,1
Medellin Jose Maria Cordova,Colombia,PMI,Regular,Full Flavor,SLI,KS,1,1
Viracopos,Brazil,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Jeju,South Korea,PMI,Regular,Full Flavor,SLI,KS,1,2
Johannesburg,South Africa,PMI,Regular,Full Flavor,STD,KS,1,1
Queretaro,Mexico,PMI,Menthol,Full Flavor,STD,KS,1,1
Marrakech,Morocco,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Olsztyn,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
Monastir,Tunisia,PMI,Regular,Full Flavor,SLI,KS,1,1
Antalya Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Hohhot Baita,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Muan,South Korea,PMI,Regular,Lights,SLI,KS,1,1
Busan - Kimhae,South Korea,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Nanjing Lukou,China,PMI,Regular,Full Flavor,STD,KS,1,7
Asuncion Silvio Petterossi,Paraguay,PMI,NTD Caps,Full Flavor,STD,KS,1,0
St. Maarten Princess Juliana,Saint Marteen (NL),PMI,Regular,Full Flavor,STD,KS,1,0
Lyon Saint Exupery,France,PMI,Regular,Lights,STD,KS,1,2
Ohrid,Macedonia,PMI,Regular,Full Flavor,STD,KS,1,1
Hohhot Baita,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Everrich Downtown Kinmen,Taiwan,PMI,Menthol,Full Flavor,STD,KS,1,1
Hyderabad,India,PMI,Regular,Full Flavor,STD,KS,1,4
Guatemala City,Guatemala,PMI,Menthol,Full Flavor,STD,KS,1,0
Santorini,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
London Heathrow,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Ciampino Airport,Italy,PMI,Regular,Full Flavor,STD,KS,1,7
Zhengzhou Xinzheng,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Wuhan Tianhe,China,PMI,Regular,Full Flavor,STD,KS,1,7
Hefei Xinqiao,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Medellin Jose Maria Cordova,Colombia,PMI,Regular,Full Flavor,STD,KS,1,2
Astrakhan,Russia,PMI,Regular,Full Flavor,STD,KS,1,7
Oita,Japan,PMI,Regular,Full Flavor,STD,KS,1,9
Shanghai Hongqiao,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Faroe Islands,Denmark,PMI,Regular,Full Flavor,STD,KS,1,2
Santiago Cibao,Dominican Republic,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Guatemala City,Guatemala,PMI,Regular,Full Flavor,STD,KS,1,0
Cukurova Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Porto Alegre,Brazil,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Eskisehir Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,14
Espargos,Cape Verde,PMI,Menthol,Full Flavor,STD,KS,1,1
Adelaide,Australia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Trabzon Airport,Turkey,PMI,Regular,Lights,STD,KS,1,1
