IATA,PORT_CODE_ID,Airport,LOCATION_ID,Location,DF_Market
NBC,1541,Begishevo Airport,2724,Naberezhnye Chelny,Russia
TBJ,918,Tabarka-Ain Draham Intl Airport,696,Tabarka,Tunisia
KLR,479,Kalmar Airport,328,Kalmar,Sweden
NUE,674,Nuremberg Airport,515,Nuernberg,Germany
OSL,699,"Oslo Airport, Gardermoen (succeeding Oslo Airport, Fornebu)",527,Oslo,Norway
CPT,217,Cape Town Intl Airport,137,Cape Town,South Africa
GDL,339,Guadalajara Intl Airport (Miguel Hidalgo y Costilla Intl),265,Guadalajara,Mexico
OUL,704,Oulu Airport,537,Oulu,Finland
MBJ,576,Sangster Intl Airport,465,Montego Bay,Jamaica
FCO,307,Leonardo da Vinci-Fiumicino Airport,610,Rome Fiumicino,Italy
OVD,706,Asturias Airport (Oviedo Airport),3062,Asturias,Spain DP
CGO,1202,Zhengzhou Xinzheng Intl Airport,790,Zhengzhou Xinzheng,China
UFA,1152,Ufa Airport,744,Ufa,Russia
KMQ,1590,Komatsu Airport (Kanazawa Airport),353,Komatsu,Japan
POM,1605,Jacksons Intl Airport (Port Moresby Airport),563,Moresby Port,Papua New Guinea
RHO,795,Rhodes Intl Airport,598,Rhodes,Greece
AOI,52,Ancona Falconara Airport,35,Ancona,Italy
FAO,303,Faro Airport,223,Faro Airport,Portugal
KRS,488,"Kristiansand Airport, Kjevik",360,Kristiansand,Norway
WRO,1017,Copernicus Airport Wroclaw,774,Wroclaw,Poland
NRN,97,Weeze Airport (formerly Niederrhein Airport),768,Weeze,Germany
MST,637,Maastricht Aachen Airport,415,Maastricht - Aachen,Netherlands
ALA,1561,Almaty Intl Airport,30,Almaty,Kazakhstan
TZX,1099,Trabzon Airport,732,Trabzon Airport,Turkey
HTY,1356,Hatay Airport,2681,Hatay Airport,Turkey
NCE,659,Cote d'Azur Intl Airport,501,Nice,France DP
YQB,1029,Quebec/Jean Lesage Intl Airport,2978,Quebec City,Canada
ZRH,1053,Zurich Airport,352,Zurich,Switzerland
SDQ,836,Las Americas Intl Airport,388,Santo Domingo Las Americas,Dominican Republic
FMO,320,Munster Osnabruck Intl Airport,477,Munster-Osnabruck,Germany
LCG,513,A Coruna Airport,3061,A Coruna,Spain DP
DNK,1212,Dnipropetrovsk Intl Airport,194,Dnipropetrovsk,Ukraine
GRO,359,Girona-Costa Brava Airport,250,Gerona,Spain DP
WAW,1014,Frederic Chopin Intl Airport,765,Warsaw,Poland
SSA,885,Deputado Luis Eduardo Magalhaes Intl Airport,618,Salvador,Brazil
PRN,754,Pristina Intl Airport Adem Jashari,574,PRISTINA,Kosovo
MDE,584,Jose Maria Cordova Intl Airport,449,Medellin Jose Maria Cordova,Colombia
AOK,54,Karpathos Island National Airport,335,Karpathos,Greece
REU,789,Reus Airport,596,Reus,Spain
BGF,98,Bangui M'Poko Intl Airport,3206,Bangui,Central Africa
HNA,3960,Hanamaki Airport,4406,Iwate,Japan
MRU,630,Sir Seewoosagur Ramgoolam Intl Airport,557,Port Louis,Mauritius
BOD,129,Bordeaux-Merignac Airport,108,Bordeaux,France
ORY,697,Orly Intl Airport,523,Paris Orly,France DP
LRM,555,La Romana Intl Airport (Casa de Campo Intl Airport),2675,La Romana,Dominican Republic
RTM,813,Rotterdam The Hague Airport,613,Rotterdam,Netherlands
DTM,267,Dortmund Airport,199,Dortmund,Germany
ADZ,24,Gustavo Rojas Pinilla Intl Airport,624,San Andres,Colombia
LBA,506,Leeds Bradford Airport,390,Leeds Bradford,Great Britain
SMI,874,"Samos Intl Airport ""Aristarchos of Samos""",621,Samos,Greece
FDF,308,Martinique Aime Cesaire Intl Airport,230,Fort-de-France,Martinique
TJM,6786,Roschino Airport,3447,Tyumen,Russia
ADD,21,Bole Intl Airport,11,Addis Ababa,Ethiopia
EWR,298,Newark Liberty Intl Airport,4414,Newark,United States
MLA,612,Malta Intl Airport (Luqa Airport),411,Luqa,Malta
SCQ,831,Santiago de Compostela Airport,637,Santiago De Compostela,Spain DP
ESU,1073,Essaouira-Mogador Airport,3095,Essaouira,Morocco
SXB,901,Strasbourg Entzheim Intl Airport,687,Strasbourg,France DP
