Location,DF_Market,Flavor,Taste,Thickness,Length,DF_Vol,Real_So_Segment,Ideal_So_Segment,Delta_SoS
Kristiansand,Norway,Regular,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.000017088366,0.000017088366
Kristiansand,Norway,Menthol,Full Flavor,STD,KS,0.000000,0.000000000000,0.018153437015,0.018153437015
Kristiansand,Norway,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.000931115714,0.000931115714
Kristiansand,Norway,NTD Caps,Ultralights,STD,KS,0.000000,0.000000000000,0.250000000000,0.250000000000
Kristiansand,Norway,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.012968875751,0.012968875751
Kristiansand,Norway,Menthol,Full Flavor,STD,100,0.000000,0.000000000000,0.001121063404,0.001121063404
Kristiansand,Norway,NTD Caps,Full Flavor,SLI,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Kristiansand,Norway,Regular,Lights,STD,LONGER THAN KS,0.000000,0.000000000000,0.000455752815,0.000455752815
Kristiansand,Norway,Menthol Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.000113729905,0.000113729905
Kristiansand,Norway,Regular,Full Flavor,SSL,100,0.000000,0.000000000000,0.008251966969,0.008251966969
Kristiansand,Norway,NTD Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.400000000000,0.400000000000
Kristiansand,Norway,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.002018244616,0.002018244616
Kristiansand,Norway,Regular,Full Flavor,STD,KS,0.000000,0.000000000000,0.563886363119,0.563886363119
Kristiansand,Norway,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.000818937393,0.000818937393
Kristiansand,Norway,Menthol,Full Flavor,SSL,100,0.000000,0.000000000000,0.000155867047,0.000155867047
Kristiansand,Norway,Regular,1mg,STD,KS,0.000000,0.000000000000,0.006132984855,0.006132984855
Kristiansand,Norway,Regular,Lights,SSL,100,0.000000,0.000000000000,0.005998987491,0.005998987491
Kristiansand,Norway,Regular,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000449390237,0.000449390237
Kristiansand,Norway,Regular,Full Flavor,STD,100,0.000000,0.000000000000,0.047933422911,0.047933422911
Kristiansand,Norway,NTD Caps,Full Flavor,STD,KS,0.000000,0.000000000000,0.400000000000,0.400000000000
Kristiansand,Norway,Menthol Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.000126190580,0.000126190580
Kristiansand,Norway,Menthol Caps,Full Flavor,SLI,KS,0.000000,0.000000000000,0.000067707397,0.000067707397
Kristiansand,Norway,NTD Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Kristiansand,Norway,Menthol,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.300000000000,0.300000000000
Kristiansand,Norway,Menthol,Full Flavor,SLI,100,0.000000,0.000000000000,0.000052534840,0.000052534840
Kristiansand,Norway,Regular,Full Flavor,SLI,100,0.000000,0.000000000000,0.000245496795,0.000245496795
Kristiansand,Norway,Menthol,Full Flavor,SLI,KS,0.000000,0.000000000000,0.000026679712,0.000026679712
Kristiansand,Norway,Menthol Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000051457859,0.000051457859
Kristiansand,Norway,Regular,Lights,STD,KS,0.000000,0.000000000000,0.271626115978,0.271626115978
Kristiansand,Norway,NTD Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Kristiansand,Norway,Menthol Caps,Full Flavor,STD,KS,0.000000,0.000000000000,0.002943720688,0.002943720688
Kristiansand,Norway,Menthol,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000001870243,0.000001870243
Kristiansand,Norway,Menthol,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.000004610622,0.000004610622
Mombasa,Kenya,Regular,Lights,STD,100,0.000000,0.000000000000,0.010984821562,0.010984821562
Mombasa,Kenya,Regular,Full Flavor,SLI,KS,0.000000,0.000000000000,0.002022297066,0.002022297066
Mombasa,Kenya,Regular,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.000196053905,0.000196053905
Mombasa,Kenya,Menthol,Full Flavor,STD,KS,0.000000,0.000000000000,0.038596044998,0.038596044998
Mombasa,Kenya,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.000687934503,0.000687934503
Mombasa,Kenya,NTD Caps,Ultralights,STD,KS,0.000000,0.000000000000,0.250000000000,0.250000000000
