DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,$theyearbefore Volume,$previous_year Volume,$current_year Volume,$theyearbefore Month,$previous_year Month,$current_year Month,$theyearbefore Revenue,$previous_year Revenue,$current_year Revenue
Great Britain,London Southend Airport,JTI,MAYFAIR,44279,MAYFAIR - KS BOX,200,3600,1400,13800,6,2,12,954,420,4329
Hong Kong,Hong Kong,JTI,WINSTON,45182,WINSTON - KS BOX,200,262692,1882590,2271359,12,12,12,203586.3,1600201.5,1930655.15
Tanzania,Dar Es Salaam,JTI,CAMEL,52735,CAMEL - BLUE KS BOX,400,76800,38000,68400,12,9,12,0,10111000,21763000
Morocco,Agadir,IMPERIAL BRANDS,DAVIDOFF,53129,DAVIDOFF - CLASSIC KS OCTAGONAL PACK,400,23650,32893,32711,10,12,12,3547.5,4933.95,4906.65
Mexico,Guadalajara,PMI,MARLBORO,107858,MARLBORO - DOUBLE FUSION AMBER 100's BOX C CHR WHITE - LA&CANADA DF-ENG TXT,200,12800,0,0,5,0,0,2176,0,0
Greece,Heraklion Airport,PMI,MARLBORO,120915,MARLBORO - (RED FWD) KS SOFT - ENGLISH GHW TPD2 DF - IDM GREECE,200,99200,100600,0,8,9,0,17854,21030,0
Grenada,St. George's Point Saline,IMPERIAL BRANDS,REGAL,44605,REGAL - KS BOX,200,1600,400,0,4,1,0,257.27,76,0
Great Britain,London Stansted,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,22000,100200,107200,3,12,12,4730,28642.2,32165
Great Britain,Southampton,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,600,114000,276600,342600,12,12,12,20520,50848.01,69395.67
Greece,Corfu,BAT,ROTHMANS,45801,ROTHMANS - INTERNATIONAL KS BOX,200,40800,30800,30000,7,8,8,7752,5852,5700
Japan,Tokyo - Narita,JTI,MEVIUS,88961,MEVIUS - SUPER LIGHTS 6 100's RCB,200,472800,1234800,1225400,12,12,12,9219600,24078600,23895300
Macedonia,Skopje,BAT,PRINCE,51120,PRINCE - RICH TASTE KS BOX,400,0,116400,291600,0,5,11,0,15850.13,39550
Dominican Republic,Punta Cana - Higuey,BAT,VOGUE,68664,VOGUE - (BLUE) 100's L-STICK ROUND CORNER BOX SUPERSLIMS,600,0,54600,138000,0,7,5,0,10167.686666667,25427.07
Poland,Szczecin,PMI,L&M,124253,L&M - RED LABEL (5.0 CWB) KS RCB - ENGLISH GHW TPD2 DF - IDM POLAND,20,7800,35260,0,7,11,0,5616,27846.9,0
Bulgaria,Sofia,JTI,CAMEL,52735,CAMEL - BLUE KS BOX,200,34200,574800,444400,1,12,12,2907,48858,54316.96
China,Xian Xianyang,JTI,MEVIUS,89727,MEVIUS - WIND BLUE KS RCB,200,91839,499890,525773,6,11,12,57399.375,312431.25,328608.125
Germany,Duesseldorf,PMI,MARLBORO,123064,MARLBORO - GOLD (3.5) 100's BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,163600,201200,272200,12,11,12,48180.2,62359.4,86967.9
Great Britain,Southampton,IMPERIAL BRANDS,SUPERKINGS,44938,SUPERKINGS - 100's BOX,400,14000,30800,38800,12,12,12,3535,7910.97,10743
Morocco,Agadir,JTI,MAYFAIR,46686,MAYFAIR - SKY BLUE KS BOX,400,70087,92800,158400,9,11,11,9656.57125,12788.8,21780
Aruba,Oranjestad,BAT,VOGUE,45104,VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,115200,117400,112200,10,12,12,22176,24633.05,27263.78
Turkey,Ankara Airport,PMI,MARLBORO,109801,MARLBORO - DOUBLE FUSION PURPLE KS RCB C JUMBO RC WHITE - TURKEY DF,200,534600,433600,0,12,11,0,98265.7,84947.2,0
Turkey,Istanbul Airport,BAT,KENT,59762,KENT - CONVERTIBLES KS RCB C,600,828600,737400,0,12,9,0,126694.5,117886.5,0
South Africa,Cape Town,PMI,L&M,93813,L&M - BLUE LABEL KS RCB - SOUTH AFRICA DF,200,70000,0,0,7,0,0,91000,0,0
Turkey,Kutahya Airport,PMI,PARLIAMENT,85806,PARLIAMENT - NIGHT BLUE KS RCB WHITE - TURKEY DF,200,11200,15200,6000,5,7,8,2240,3040,1236.67
Netherlands,Amsterdam - Schiphol,BAT,LUCKY STRIKE,45366,LUCKY STRIKE - RED KS BOX,200,52600,263400,950800,4,5,11,15490.7,82062.3,322796.6
Morocco,Rabat,JTI,WINSTON,56993,WINSTON - (RED) KS BOX,200,20000,84600,105400,3,10,11,3100,13113,18055.94
Morocco,Fes,BAT,DUNHILL,50854,DUNHILL - (RED) KS BOX,400,61465,78311,146639,10,11,12,10141.725,12921.315,24195.435
Turkey,Ankara Airport,PMI,L&M,122611,L&M - BLUE LABEL (5.0 CWB) KS RCB 400 - TURKEY DF,400,0,6400,94800,0,1,12,0,926.4,14134.3
China,Yanji Zhaoyangchuan,BAT,LUCKY STRIKE,43972,LUCKY STRIKE - KS BOX,200,7,314,90,2,12,3,4.2,188.4,54
Vietnam,Phu Quok,PMI,MARLBORO,122665,MARLBORO - GOLD (3.5) KS RCB WHITE - INDOCHINA DF,200,28400,94200,135600,5,12,11,3408,11493,16272
China,Beijing,CHINA NATIONAL,FURONGWANG,103407,FURONGWANG - KS BOX,200,231720,2121870,4007090,11,11,12,331359.6,3034274.1,5730138.7
Great Britain,Glasgow,JTI,MAYFAIR,46686,MAYFAIR - SKY BLUE KS BOX,200,239600,196600,200400,12,12,12,63494,56829.04,63000
China,Hangzhou Xiaoshan,JTI,MILD SEVEN,46248,MILD SEVEN - ONE KS BOX,200,15081,479781,862313,8,12,12,10179.675,337062.175,625176.925
Panama,Panama Tocumen,PMI,MARLBORO,91755,MARLBORO - (RED FWD) KS BOX 400 WHITE - LA&CANADA DF-ENG TXT,400,580400,388800,0,12,12,0,87060,64152,0
Poland,Szczecin,PMI,L&M,124252,L&M - BLUE LABEL (5.0 CWB) KS RCB - ENGLISH GHW TPD2 DF - IDM POLAND,200,99600,600400,745720,3,12,12,71712,471726,623110.1
Turkey,Antalya Gazipasa Airport,IMPERIAL BRANDS,DAVIDOFF,88459,DAVIDOFF - CLASSIC KS BOX,200,0,0,7600,0,0,7,0,0,1706.2
China,Wuhan Tianhe,CHINA NATIONAL,FURONGWANG,103407,FURONGWANG - KS BOX,200,27543,53996,103311,12,12,10,39386.49,77214.28,147734.73
Armenia,Yerevan,INTL. MASIS TABAK,CIGARONNE,97411,CIGARONNE - XL (BLACK) 120's OCTAGONAL PACK,200,618400,424400,6200,12,12,6,27747.06,12006834.25,272800
Georgia,Tbilisi,PMI,MARLBORO,124368,MARLBORO - FINE TOUCH 3.5 KS DSP SLIMS WHITE - GEORGIA DF,200,340000,457800,338600,9,12,10,49489.9,69992.1,52313.7
Turkey,Istanbul Asia Airport,IMPERIAL BRANDS,DAVIDOFF,48007,DAVIDOFF - SLIMS LIGHTS 100's OCTAGONAL PACK SLIMS,600,160800,823800,839400,3,12,12,23584,120824,135302.68
Greece,Thessaloniki,IMPERIAL BRANDS,SUPERKINGS,70127,SUPERKINGS - BLACK 100's BOX,200,126400,104400,87400,10,12,12,22129.4,22247.76,19277.56
South Korea,Seoul,KT & G,THE ONE,53482,THE ONE - 0.5 KS OCTAGONAL PACK,200,43800,379600,316400,11,12,12,6552,56940,47460
