DF_Market,Location,CR_BrandId,$theyearbefore NOR,$previous_year NOR,$current_year NOR,$theyearbefore MC,$previous_year MC,$current_year MC
Spain DP,Almeria,125681,0,476.891012711,19293.689330689,0,334.219012711,13820.696330689
Japan,Miyazaki,144212,0,0,67.926869777,0,0,58.914869777
Morocco,Agadir,139319,0,0,8893.82925207,0,0,5911.05225207
Turkey,Dalaman Airport,41603,0,507.253362176,10672.062250906,0,440.928362176,9450.941250906
Spain DP,Valencia,123310,19059.742703403,66503.62003613,271215.084985251,16214.572703403,45946.22703613,200001.529985252
Sri Lanka,Bandaranaike,123409,9496.302,11393.02,88303.937,8409.326,9647.365,74378.46
Italy,Bologna,125045,0,12431.959856041,0,0,10745.592856041,0
Taiwan,Kaohsiung,148706,0,0,14293.744,0,0,6935.095
Iraq,Suleymania Airport,123379,26160,51009.122,327942.347,22680.4,42948.751,277715.949
Iraq,Erbil International Airport,123394,183643.2,975911.744,1442617.202,159216.408,360869.659,1221287.989
Dominican Republic,La Romana,123648,0,1772.166,4198.348,0,1472.693,3469.696
China,Shenzhen Bao'an,105694,0,70.843,0,0,52.987,0
Kenya,Jomo Kenyatta,139345,0,0,15979.463,0,0,12783.085
Italy,Bari,122502,0,0,11428.106678387,0,0,9691.154678387
Dominican Republic,Santiago Cibao,139312,0,591.209,3167.241,0,495.624,2641.976
United Arab Emirates,Dubai,95487,0,-4573.584,0,0,-18900.349,0
Bangladesh,Zia,123515,0,0,5005.623,0,0,4357.652
Morocco,Ouarzazate,123640,144.514861017,10339.007455354,52160.478262389,114.214861017,8093.570455354,41657.403262389
Germany,Bremen,124179,1379.013608818,1980.796492321,0,1211.993608818,1726.812492321,0
India,Amritsar,123639,155.002,1300.288,2604.162,127.824,1091.313,2198.894
Saudi Arabia,Medina,125070,0,4468.026871163,341732.760967333,0,3943.015871163,303566.674967333
Turkey,Bodrum Airport,114830,19124.542339021,38696.589678998,0,16814.088339021,34038.505678998,0
France,Grenoble,123635,7996.071584629,56360.705293692,171133.332002423,7143.461584629,50032.877293692,153967.075002423
Russia,Sochi,121993,561.855152316,1082.69021076,5536.58247084,469.440152316,671.93221076,3450.56147084
India,Bangalore,123389,0,395.103,6602.261,0,347.157,5785.587
Philippines,Iloilo,125431,0,0,4754.628,0,0,3500.628
Vietnam,Cam Ranh,113542,11528.16,28469.878,0,10004.094,24338.35,0
South Korea,Busan - Kimhae,147067,0,0,23228.101,0,0,16810.365
India,Trichy,123518,0,0,26166.282,0,0,22098.472
Cape Verde,Espargos,123645,26281.32,40658.74,79590.812,20275.86,30542.434,60448.83
China,Hangzhou Xiaoshan,122802,0,5393.263,77241.792,0,3335.266,47284.22
China,Dalian Zhoushuizi,113950,0,984.616,24677.76,0,655.818,16608.274
Germany,Stuttgart,124243,9355.617325724,23386.406414671,84804.980413145,8137.557325724,20025.126414671,74290.267413145
Kaliningrad,Hrabrovo,121956,487.611384885,1110.978234192,0,408.273384885,915.007234192,0
Bahrain,Manama,138965,0,13905.145,248081.779,0,-2029.734,223018.468
Brazil,Florianopolis,123639,19.014,1059.134,10080.513,17.499,848.592,8201.489
Russia,Min Vody,95628,43.164028767,681.077708192,0,36.204028767,558.128708192,0
