EBROMId,TMO,Brand Family,Market,PRODUCT_CATEGORY_NAME
60046004,VON EICKEN GMBH & CO,THREE STARS,UAE,Cigarettes
60053079,IMPERIAL BRANDS,LAMBERT & BUTLER,United Kingdom,Cigarettes
60050037,PMI,PARLIAMENT,Greece,Cigarettes
60281947,INDEPENDENT BRANDS,BLACK TIP,Caribbean Other,Cigarettes
50055327,PMI,CARIBE,Peru,Cigarettes
50019644,BAT,LUCKY STRIKE,Germany,Cigarettes
50000290,JTI,YVES ST LAURENT,France,Cigarettes
60056241,PMI,MARLBORO,Slovenia,Cigarettes
60118106,JTI,MAYFAIR,Ireland,Cigarettes
60210352,JTI,WINSTON,Montenegro,Cigarettes
50023877,VON EICKEN GMBH & CO,TRADITION,Albania,Cigarettes
60075677,PMI,MARLBORO,Finland,Cigarettes
60128975,TRADE BRANDS,BUFFALO,Germany,Cigarettes
60121027,JTI,TAWA,Germany,Cigarettes
50032998,BAT,SLIM AGENDA,Albania,Cigarettes
50003560,TRADE BRANDS,IMPERIAL,Germany,Cigarettes
60082368,GRAND RIVER ENTREPR.,MARK 1,Italy,Cigarettes
50001331,BAT,CARLTON,Belgium,Cigarettes
60039856,PMI,MARLBORO,Australia,Cigarettes
50006636,JTI,CAMEL,Lithuania,Cigarettes
50034042,JTI,WINSTON,Japan,Cigarettes
60163989,PMI,MARLBORO,Macau,Cigarettes
60137070,JTI,MEVIUS,PMIDF,Cigarettes
50033032,BAT,VOGUE,Cyprus,Cigarettes
60196442,BAT,JOHN PLAYER,Canada,Cigarettes
60125312,OTHER LOCAL TMO IND.,BOMOND,Moldova,Cigarettes
60078401,PMI,MARLBORO,Germany,Cigarettes
50072380,BAT,LUCKY STRIKE,Caribbean Other,Cigarettes
50038372,ITC Ltd.,CAPSTAN,India,Cigarettes
60098423,JTI,WINSTON,Hungary,Cigarettes
60166295,UNSPECIFIED TMOs,STAYA,Russia,Cigarettes
60238368,JTI,LD,Mongolia,Cigarettes
50037691,OTHER LOCAL TMO IND.,DUCAL,Peru,Cigarettes
50007458,JTI,STRONG,Poland,Cigarettes
50052224,JTI,CITY,Poland,Cigarettes
50056118,JTI,MONTE CARLO,Serbia,Cigarettes
60211910,BAT,PALL MALL,Uzbekistan,Cigarettes
50063588,PMI,DJI SAM SOE,Indonesia,Cigarettes
50014734,UNSPECIFIED TMOs,ALTAY,Russia,Cigarettes
50023044,UNSPECIFIED TMOs,ALTAY,Russia,Cigarettes
50010238,BAT,DUNHILL,Hong Kong,Cigarettes
50013249,OTHER LOCAL TMO IND.,33 SAM SAM,Indonesia,Cigarettes
50040183,JTI,SILK CUT,Denmark,Cigarettes
60096895,JTI,LD,Crimea,Cigarettes
50064975,BAT,DU MAURIER,Canada,Cigarettes
60168911,JTI,WINSTON,Singapore,Cigarettes
50041681,PMI,PARLIAMENT,Jordan,Cigarettes
50080973,PMI,L&M,Brazil,Cigarettes
50070944,CONTINENTAL TOBACCO,SURFSIDE,Canary Islands,Cigarettes
60230438,PMI,MARLBORO,France,Cigarettes
60162564,INTL. MASIS TABAK,ZUMERRET,PMIDF,Cigarettes
60207362,VON EICKEN GMBH & CO,TRADITION,Russia,Cigarettes
60055300,SPS CIGARONNE,X7,Armenia,Cigarettes
50006834,DUBEK & CO,BROADWAY,Palestine Auth. Area,Cigarettes
60206850,PMI,MARLBORO,Austria,Cigarettes
60186090,KING'S TOBACCO,CORSET,PMIDF,Cigarettes
60096795,IMPERIAL BRANDS,PRIMA,Crimea,Cigarettes
50042993,PMI,NEXT,Costa Rica,Cigarettes
50001905,PMI,START,Czech Republic,Cigarettes
50056967,BAT,PALL MALL,Reunion,Cigarettes
60077724,ITC Ltd.,WILLS,India,Cigarettes
50055151,PMI,L&M,Turkey,Cigarettes
50016302,IMPERIAL BRANDS,THE IMPERIAL,Russia,Cigarettes
60053825,PMI,LONGBEACH,PMIDF,Cigarettes
50012408,P.T. PERMONA,SAM SAM KIU,Indonesia,Cigarettes
50078970,BAT,DUNHILL,Taiwan,Cigarettes
50067881,DONSKOY TABAK,KISS,Uzbekistan,Cigarettes
50002223,PMI,PARLIAMENT,Japan,Cigarettes
50013065,OTHER LOCAL TMO IND.,SU LIOK PAT,Indonesia,Cigarettes
50001627,JTI,WINSTON,Canary Islands,Cigarettes
50001622,PMI,MERIT,Canary Islands,Cigarettes
50013334,OTHER LOCAL TMO IND.,JENDERAL,Indonesia,Cigarettes
50052010,IMPERIAL BRANDS,PARAMOUNT,Slovak Republic,Cigarettes
50021021,TRADE BRANDS,KORNET,Netherlands,Cigarettes
60077910,BAT,PALL MALL,Saudi Arabia,Cigarettes
50050881,JTI,CAMEL,Luxembourg,Cigarettes
50001353,BAT,GOLDEN AMERICAN,Belgium,Cigarettes
50020548,PMI,RED & WHITE,Slovak Republic,Cigarettes
60048259,H.VAN LANDEWYCK GMBH,CHE,Austria,Cigarettes
60055052,IMPERIAL BRANDS,DAVIDOFF,Germany,Cigarettes
50034109,BAT,ROTHMANS,South Africa,Cigarettes
50012145,P.T. GUDANG GARAM,GUDANG GARAM,Indonesia,Cigarettes
50009821,BAT,HOLLYWOOD,Ukraine,Cigarettes
50077590,BAT,MATCH,Benin,Cigarettes
50003791,TRADE BRANDS,GORDEN,Germany,Cigarettes
60095791,JTI,NATURAL AMERICAN SPIRIT,Germany,Cigarettes
60053504,MTC,VALIANT,Myanmar,Cigarettes
60168043,JTI,WINSTON,Czech Republic,Cigarettes
