Year,EBROMId,Volume
2024,60078386,34809
2024,60214251,1094758
2024,60210877,203222
2024,60239037,25897
2024,50031692,73115
2024,60240068,108343
2024,60247173,9950
2024,60236968,100849
2024,60240087,33029
2024,60258301,6568
2024,60096554,2795
2024,60259461,27656
2024,50036104,4477
2024,50041197,17349
2024,60238856,247197
2024,60193161,13223
2024,60165873,1754085
2024,50081204,386462
2024,60233204,2669
2024,60167472,21670
2024,60231666,33
2024,60194878,4
2024,60209929,8131
2024,60236054,7752
2024,60199406,40058
2024,60165307,121718
2024,60213312,153
2024,50034318,935
2024,60127182,1230
2024,60192792,25823
2024,60271864,4946
2024,60129097,3473
2024,60212014,5736
2024,60072779,211
2024,60205454,4416
2024,60061736,343224
2024,50049846,198582
2024,60047125,599
2024,60061702,3680
2024,50068213,913
2024,50080427,118550
2024,50078386,103872
2024,60214404,9285
2024,60232266,134698
2024,50075287,911215
2024,60240548,7779
2024,60169893,217
2024,60055530,252309
2024,60055708,2654608
2024,50008669,366112
2024,50049882,476835
2024,60198989,10
2024,60188314,50553
2024,50071218,7858
2024,60195866,62
2024,50004608,9691
2024,60230247,32169
2024,60062209,44297
2024,60193848,60940
2024,50075574,16570
2024,60189083,13140
2024,60163729,29221
2024,60122164,8884
2024,50065558,1407
2024,60050787,882
2024,60197081,12
2024,60223219,2130
2024,60165813,1654
2024,60100058,919670
2024,60169106,69176
2024,60196056,733
2024,60243263,2058783
2024,60052244,33751
2024,60166010,6501
2024,50051780,146860
2024,60064069,12445
2024,60236357,126
2024,60210128,520093
2024,50065564,3173
2024,60209351,412
2024,60197521,3902
2024,60237889,17438
2024,60208232,2553
2024,60118470,13368
2024,50041792,51555
2024,60163998,438
2024,60123205,2635
2024,60062340,68948
2024,60136074,803315
2024,50037294,35439
2024,60239256,175
2024,60199505,10329
2024,60237354,30023
2024,60166181,35308
2024,60230995,65900
2024,60136959,6880
2024,60168666,21539
2024,50040326,2303
2024,60256338,226
2024,60098065,32527
2024,50014481,15683
2024,60188645,3099
2024,60240596,3456
2024,60130842,6208912
2024,50071450,4579
2024,60170041,68
2024,60230980,483456
2024,60271714,8329
2024,60214288,2027
2024,60198855,67540
2024,60210199,1004
2024,60193910,3636
2024,60073402,9999
2024,60234439,7405
2024,60230410,69814
2024,60165828,40778
2024,50055156,462018
2024,60214397,7129
2024,60072622,254460
2024,60036998,39662
2024,60129336,44420
2024,60211735,56143
2024,60206065,28539
2024,60130209,15897
2024,60231796,773
2024,60168247,63253
2024,60275080,8567
2024,60192210,11290
2024,60046212,45389
2024,60243272,9390
2024,60235787,97253
2024,60127702,124003
2024,60214385,7570
2024,60197633,12243
2024,60079192,22756
2024,60193999,19234
2024,60126082,20084
2024,50002488,4387
2024,60278573,4577
2024,60123081,28931
2024,60081810,15127
2024,60243542,2866
2024,60064335,4821
2024,60062160,66249
2024,50079094,51852
2024,60169835,413
2024,60135888,12090
2024,60126853,145
2024,60208887,114355
2024,50044032,4562
2024,60120179,341
2024,60125207,16778
2024,60199378,13173
2024,50046642,11785
2024,60209934,27519
2024,60212139,5198
2024,50059200,58378
2024,50041199,9671
2024,60099432,12258
2024,50034731,144162
2024,60239040,4214
2024,60206098,12110
2024,50071917,12975
2024,60246736,1714
2024,60125926,74817
2024,60126832,2137236
2024,60047436,167079
2024,50008399,4494
2024,60055743,97667
2024,60098003,39614
2024,50054933,163515
2024,60130958,95751
2024,50019609,307419
2024,50080933,51
2024,60163839,112636
2024,50046184,10262
2024,60280638,182
2024,60080116,412728
2024,60127354,3197
2024,60165349,5307
2024,60232221,155566
2024,60240936,11597
2024,60037879,5123
2024,60256848,10649
2024,50067319,9697
2024,60048384,22434
2024,60192365,1974
2024,60211986,18809
2024,60236241,3892
2024,60239583,17134
2024,50058884,17349
2024,50034139,398
2024,50019666,2383647
2024,60196302,16768
2024,60205400,16306
2024,60195888,345747
2024,60127620,37743
2024,50023352,10286
2024,60135999,278
2024,60046451,44616
2024,50037656,9441
2024,60121741,27018
2024,60118423,66410
2024,50034936,49121
2024,60188454,8062
2024,60188557,59471
2024,50066022,86798
2024,60235286,4056
2024,60064103,29770
2024,60121310,9922
2024,60239145,1674
2024,50070215,10084
2024,60162029,20074
2024,60136149,322627
2024,60258327,7230
2024,60185605,683532
2024,60210676,18958
2024,50072510,181
2024,60166875,6319
2024,60098467,18851
2024,50067871,9
2024,60038078,28839
2024,60199268,18173
2024,60063283,15597
2024,60233513,1208256
2024,50008704,5429
2024,60167091,134182
2024,60049866,209684
2024,60071369,1528
2024,60208682,55040
2024,60163721,6974
2024,50064366,24910
2024,60208162,3801
2024,50042265,479677
2024,60233033,13730
2024,60188909,38639
2024,60194814,18800
2024,50049922,2784349
2024,60246900,449829
2024,60038297,112160
2024,60170038,8308
2024,60183515,25635
2024,60232591,8535
2024,50037446,42876
2024,60130728,77446
2024,60130866,156841
2024,50020868,64629
2024,60137129,8400
2024,60199416,97258
2024,60196691,1337606
2024,60183190,4001
2024,60206003,2036
2024,60163651,2799
2024,60205883,60505
2024,60211192,5691
2024,60230983,238840
2024,60137766,42464
