IATA,PORT_CODE_ID,Airport,LOCATION_ID,Location,DF_Market
LWO,564,Lviv Danylo Halytskyi Intl Airport,414,Lviv,Ukraine
AXT,1568,Akita Airport,21,Akita,Japan
AUH,69,Abu Dhabi Intl Airport,6,Abu Dhabi,United Arab Emirates
BGI,99,Grantley Adams Intl Airport,119,Bridgetown,Barbados
MJV,607,Murcia-San Javier Airport,2744,Murcia,Spain
EGO,1529,Belgorod Intl Airport,2866,Belgorod,Russia
KUT,4749,David the Builder Kutaisi Intl Airport,3662,Kutaisi,Georgia
PER,721,Perth Airport,549,Perth,Australia
JED,444,King Abdulaziz Intl Airport,2710,Jeddah,Saudi Arabia
REP,1093,Angkor Intl Airport,668,Siem Reap,Cambodia
ALC,40,Alicante-Elche Airport,29,Alicante,Spain DP
YQR,1031,Regina Intl Airport,2979,Regina,Canada
AAE,2,Rabah Bitat Airport,39,Annaba,Algeria
BRE,137,Bremen Airport,116,Bremen,Germany
YXE,1039,Saskatoon John G. Diefenbaker Intl Airport,2980,Saskatoon,Canada
ROS,6356,Rosario - Islas Malvinas Intl Airport,4165,Rosario,Argentina
JNB,453,O. R. Tambo Intl Airport,319,Johannesburg,South Africa
MTY,641,General Mariano Escobedo Intl Airport,467,Monterrey,Mexico
DLA,254,Douala Intl Airport,3172,Douala,Cameroon
MRS,629,Marseille Provence Airport,446,Marseille,France
DAC,1573,Shahjalal Intl Airport,791,Zia,Bangladesh
ALY,44,El Nouzha Airport,25,Alexandria,Egypt
PMI,739,Palma de Mallorca Airport (Son Sant Joan Airport),541,Palma De Mallorca,Spain DP
GVA,369,Geneva Airport,169,Geneva,Switzerland
RMQ,1261,Taichung Ching Chuan Kang Airport,697,Taichung,Taiwan
AHU,35,Cherif Al Idrissi Airport,3431,Al Hoceima,Morocco
CNS,209,Cairns Airport,130,Cairns,Australia
GDN,340,Gdansk Lech Walesa Airport,248,Gdansk,Poland
GOI,353,Goa Intl Airport (Dabolim Airport),256,Goa,India
GMP,348,Gimpo Intl Airport,647,Seoul,South Korea
RGN,794,Yangon Intl Airport,778,Yangon,Myanmar
AUA,68,Queen Beatrix Intl Airport,52,Oranjestad,Aruba
SKP,865,Skopje Airport,675,Skopje,Macedonia
AOJ,53,Aomori Airport,45,Aomori,Japan
BOH,1061,Bournemouth Airport,112,Bournemouth,Great Britain
TRN,957,Turin Intl Airport,725,Torino,Italy
BDA,82,L.F. Wade Intl Airport,3640,Hamilton,Bermuda
ASU,61,Silvio Pettirossi Intl Airport,54,Asuncion Silvio Petterossi,Paraguay
ALG,42,Houari Boumediene Airport,27,Algiers,Algeria
LEJ,521,Leipzig/Halle Airport,391,Leipzig,Germany
AES,27,"alesund Airport, Vigra",2821,Alesund,Norway
BEG,88,Belgrade Nikola Tesla Airport,87,Belgrade,Serbia
MFM,596,Macau Intl Airport,416,Macau,Macau
MXP,648,Malpensa Airport,434,Milan - Malpensa,Italy
FJR,312,Fujairah Intl Airport,237,Fujairah,United Arab Emirates
NBE,1412,Enfidha-Hammamet Airport,214,Enfidha,Tunisia
BMA,124,Stockholm Bromma Airport,124,Bromma,Sweden
LKO,542,Chaudhary Charan Singh Intl Airport,407,Lucknow,India
HTA,404,Chita Intl Airport (Kadala Airport),3032,Chita,Russia
AGP,31,Malaga Airport,430,Malaga,Spain DP
PLS,1547,Providenciales Intl Airport,576,Providenciales (Turks and Caicos),Caribbean Other
DUS,272,Dusseldorf Airport,209,Duesseldorf,Germany
VKO,1003,Vnukovo Intl Airport,474,Moscow - Vnukovo,Russia
GRZ,363,Graz Airport,261,Graz,Austria
ACE,16,Lanzarote Airport,386,Lanzarote,Canary Islands
FRU,1060,Manas Intl Airport,436,Manas,Kyrgyzstan
SYX,1268,Sanya Phoenix Intl Airport,639,Sanya Fenghuang,China
LYR,566,"Svalbard Airport, Longyear",2677,Svalbard,Norway
BHD,103,George Best Belfast City Airport,86,Belfast City,Great Britain
MUH,644,Mersa Matruh Airport,444,Marsa Aalam,Egypt
NRT,671,Narita Intl Airport (formerly New Tokyo Intl),490,Tokyo - Narita,Japan
LUN,561,Kenneth Kaunda Intl Airport,2768,Lusaka,Zambia
INC,1292,Yinchuan Hedong Intl Airport,2893,Zhufeng,China
ASB,1566,Ashgabat Intl Airport,53,Ashgabat,Turkmenistan
KHN,1237,Nanchang Changbei Intl Airport,3067,Nanchang Changbei,China
LIM,536,Jorge Chavez Intl Airport,397,Lima,Peru
IAH,411,George Bush Intercontinental Airport,4413,Houston,United States
SZF,1186,Carsamba Airport,622,Samsun Airport,Turkey
SXB,901,Strasbourg Entzheim Intl Airport,688,Strasbourg,France
CAY,167,Cayenne - Felix Eboue Airport,15,Cayenne (REC),French Guyana
ESB,290,Esenboga Intl Airport,37,Ankara Airport,Turkey
KIN,475,Norman Manley Intl Airport,509,Kingston,Jamaica
DME,258,Domodedovo Intl Airport,470,Moscow - Domodedovo,Russia
ICN,414,Incheon Intl Airport,300,Incheon,South Korea
CPH,215,"Copenhagen Airport, Kastrup",175,Copenhagen,Denmark
PBM,1603,Johan Adolf Pengel Intl Airport,545,Paramaribo,Suriname
GUW,3808,Atyrau Airport,3675,Atyrau,Kazakhstan
OVB,705,Novosibirsk Tolmachevo Airport,512,Novosibirsk,Russia
HEL,381,Helsinki Airport (Helsinki-Vantaa Airport),287,Helsinki-Vantaa,Finland
YHZ,1025,Halifax Stanfield Intl Airport,2975,Halifax,Canada
SID,853,Amilcar Cabral Intl Airport,2972,Espargos,Cape Verde
BVC,1197,Aristides Pereira (Rabil) Intl Airport,2971,Rabil,Cape Verde
BEY,92,Beirut-Rafic Hariri Intl Airport / Beirut Air Base,592,Beirut - Rafik Hariri,Lebanon
HRE,399,Harare Intl Airport,792,Harare,Zimbabwe
DUB,269,Dublin Airport,202,Dublin,Ireland
