SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
BENSON & HEDGES - KS BOX,200,45433,Great Britain,Leeds Bradford,BAT
LUCKY STRIKE - KS BOX,200,43972,China,Yantai Penglai,BAT
WINSTON - BLUE KS RCB,200,53483,Tunisia,Sfax,JTI
MARLBORO - (GOLD 3.0) KS RCB 600 SPECIAL OUTER - AFRICA DF-ENG TXT,600,114700,Gabon,Gabon,PMI
PRINCE - ROUNDED TASTE KS BOX,200,51121,Poland,Warsaw,BAT
LUCKY STRIKE - ORIGINAL RED KS BOX,400,51260,Egypt,Cairo,BAT
SOBRANIE - COCKTAIL 100's BOX,200,48710,China,Weihai Dashuibo,JTI
UNDEFINED,0,0,Jamaica,Kingston,IMPERIAL BRANDS
PUEBLO - BLUE KS BOX,200,56602,Germany,Munich,POESCHL TABAK
RICHMOND - SUPERKINGS 100's BOX,400,44644,Great Britain,Liverpool,IMPERIAL BRANDS
UNDEFINED,0,0,India,Indira Gandhi,KT & G
WINSTON - BLUE 100's BOX SUPERSLIMS,200,54235,Turkey,Denizli Cardak Airport,JTI
UNDEFINED,0,0,Latvia,Riga,OTHER LOCAL TMO IND.
MARLBORO - ICE BLAST MICRO MENTHOL 100's BOX C SUPERSLIMS WHITE - CHINA DF - IDM CN05 SUNRISE DF (RS),200,109527,China,Shanghai Pudong,PMI
PHILIP MORRIS - BLEUE KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,121200,France,Nantes,PMI
ESSE - CHANGE BING 100's BOX C SUPERSLIMS,200,115536,South Korea,Cheongju,KT & G
MARLBORO - GOLD (3.5) KS RCB WHITE - RUSSIA DF - IDM RUSSIA,200,143934,Russia,Moscow - Domodedovo,PMI
WINSTON - EXPAND DUO KS BOX C,400,121580,Turkey,Izmir Airport,JTI
PANDA - KS BOX,200,51675,Japan,Chubu,CHINA NATIONAL
NEWS - KS BOX,400,44311,Martinique,Fort-de-France,IMPERIAL BRANDS
FURONGWANG - (BLUE) KS SOFT,200,52080,Japan,Osaka - Kansai,CHINA NATIONAL
MARLBORO - (RED FWD) KS BOX 400 - SOUTH ASIA DF,400,98261,India,Bangalore,PMI
MARLBORO - RED 3.5 KS BOS (PROMO) - GENERIC DF-ENG TXT - ALTERNATIVE 1,200,137314,Lebanon,Beirut - Rafik Hariri,PMI
LUCKY STRIKE - DOUBLE CLICK WILD KS BOX C,200,99175,Brazil,Recife,BAT
SUPERKINGS - BLUE 100's BOX,200,46019,Spain DP,Madrid Barajas,IMPERIAL BRANDS
ROTHMANS - (BLUE) KS BOX,400,46008,Great Britain,Newcastle,BAT
KENT - HDI BLUE KS RCB EXTRA SLIMS,200,88733,Macedonia,Skopje,BAT
MEVIUS - SKY BLUE KS RCB,200,89726,Peru,Lima,JTI
MAYFAIR - SKY BLUE KS BOX,200,46686,Spain,Gerona,JTI
555 - ORIGINAL KS RCB,200,99306,South Korea,Busan - Kimhae,BAT
WINSTON - BLUE KS RCB,400,53483,Morocco,Essaouira,JTI
VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,45104,Tanzania,Kilimanjaro,BAT
